# ----------------------------------------
# 1 Master View
# Огляд аудиторії
# 20190301-20190430
# ----------------------------------------

Індекс години,Діапазон дат,Сегмент,Сер. тривалість сеансу
000077,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:21
000077,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:01:43
000077,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:16
000078,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:46
000078,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:38
000078,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:16
000079,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:23
000079,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:01:57
000079,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:15
000080,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:34
000080,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:20
000080,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:34
000081,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:40
000081,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:58
000081,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:20
000082,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:09
000082,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:55
000082,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:32
000083,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:10
000083,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:18
000083,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:37
000084,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:17
000084,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:18
000084,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:20
000085,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:31
000085,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:19
000085,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:40
000086,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:20
000086,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:59
000086,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:34
000087,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:28
000087,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:09
000087,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:41
000088,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:30
000088,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:37
000088,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:04:12
000089,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:51
000089,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:03:36
000089,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:12
000090,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:27
000090,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:04:12
000090,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:02:36
000091,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:01:40
000091,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:50
000091,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:36
000092,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:03:10
000092,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:04:12
000092,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:05:13
000093,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:13
000093,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:52
000093,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:05
000094,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:23
000094,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:02:36
000094,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:01:01
000095,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:00:43
000095,1 бер. 2019 - 30 квіт. 2019,Трафік із планшетних і настільних ПК,00:01:39
000095,1 бер. 2019 - 30 квіт. 2019,Трафік мобільних пристроїв,00:00:27
000096,1 бер. 2019 - 30 квіт. 2019,Нові користувачі,00:02:14
